Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
7/31/1977,Robert Broughton,United States,Avalanche,"35.2375° N, 74.5891° E",9
7/31/1977,George Bogel,United States,Avalanche,"35.2375° N, 74.5891° E",9
9/26/1976,Sebastian (Wastl) Arnold,Austria,Fall,"35.2375° N, 74.5891° E",9
7/8/1971,Näbi Mantas Hunza,Pakistan,Fall,"35.2375° N, 74.5891° E",9
6/29/1970,Günther Messner,Italy,Avalanche,"35.2375° N, 74.5891° E",9
6/23/1962,Siegfried (Sigi) Löw,Germany,Fall,"35.2375° N, 74.5891° E",9
12/4/1950,John W. Thornley,United Kingdom,Disappeared,"35.2375° N, 74.5891° E",9
12/4/1950,William H. Crace,United Kingdom,Disappeared,"35.2375° N, 74.5891° E",9
6/15/1937,Karl Wien,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Martin Pfeffer,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Peter Müllritter,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Günther Hepp,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Hans Hartmann,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Adolf Göttner,Nazi Germany,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Pert Fankhauser,Austria,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Tigmay,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Pasang Norbu,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Nima Tsering I,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Nima Tsering II,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Mingma Tsering,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Karmi,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Gyalgen Monjo,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Chong Karma,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
6/15/1937,Ang Tshering II,British Raj,Avalanche,"35.2375° N, 74.5891° E",9
7/17/1934,Willy Merkl,Nazi Germany,Disappeared,"35.2375° N, 74.5891° E",9
7/17/1934,Sherpa Gyali,British Raj,Disappeared,"35.2375° N, 74.5891° E",9
7/12/1934,Wilhelm Welzenbach,Nazi Germany,Exposure,"35.2375° N, 74.5891° E",9
7/10/1934,Sherpa Dakshi,British Raj,Disappeared,"35.2375° N, 74.5891° E",9
7/10/1934,Dorje Nima,British Raj,Exposure,"35.2375° N, 74.5891° E",9
7/10/1934,Nima Tashi,British Raj,Exposure,"35.2375° N, 74.5891° E",9
7/10/1934,Pinju Norbu,British Raj,Exposure,"35.2375° N, 74.5891° E",9
7/9/1934,Nima Nurbu,British Raj,Disappeared,"35.2375° N, 74.5891° E",9
7/9/1934,Ulrich Wieland,Nazi Germany,Disappeared,"35.2375° N, 74.5891° E",9
6/8/1934,Alfred Drexel,Nazi Germany,Pneumonia,"35.2375° N, 74.5891° E",9
8/24/1895,Albert F. Mummery,United Kingdom,Avalanche,"35.2375° N, 74.5891° E",9
8/24/1895,Ragobir Thapa Ghurka,Nepal,Avalanche,"35.2375° N, 74.5891° E",9
8/24/1895,Goman Singh Ghurka,Nepal,Avalanche,"35.2375° N, 74.5891° E",9
